Owner/Repo,PR Number,agent,html_url,Issue Type,Severity,Message,File Name,StartLine,EndLine,Rule,additions,deletions,changed_files,changed_loc
MontrealAI/AGI-Alpha-Agent-v0,2494,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/2494,BUG,BLOCKER,Remove this unexpected named argument 'convert_to_numpy'.,PR_AGI-Alpha-Agent-v0_2494:alpha_factory_v1/demos/omni_factory_demo/phylo_tree_smart_city.py,238,238,python:S930,96.0,8.0,14.0,104.0
MontrealAI/AGI-Alpha-Agent-v0,2494,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/2494,BUG,BLOCKER,Remove this unexpected named argument 'show_progress_bar'.,PR_AGI-Alpha-Agent-v0_2494:alpha_factory_v1/demos/omni_factory_demo/phylo_tree_smart_city.py,238,238,python:S930,96.0,8.0,14.0,104.0
MontrealAI/AGI-Alpha-Agent-v0,1494,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/1494,CODE_SMELL,CRITICAL,Refactor this function to reduce its Cognitive Complexity from 19 to the 15 allowed.,PR_AGI-Alpha-Agent-v0_1494:alpha_factory_v1/demos/alpha_agi_insight_v1/insight_browser_v1/manual_build.py,60,60,python:S3776,29.0,6.0,2.0,35.0
MontrealAI/AGI-Alpha-Agent-v0,1494,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/1494,CODE_SMELL,CRITICAL,"Define a constant instead of duplicating this literal ""bundle.esm.min.js"" 6 times.",PR_AGI-Alpha-Agent-v0_1494:alpha_factory_v1/demos/alpha_agi_insight_v1/insight_browser_v1/manual_build.py,119,119,python:S1192,29.0,6.0,2.0,35.0
MontrealAI/AGI-Alpha-Agent-v0,1494,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/1494,CODE_SMELL,CRITICAL,"Define a constant instead of duplicating this literal ""insight.bundle.js"" 4 times.",PR_AGI-Alpha-Agent-v0_1494:alpha_factory_v1/demos/alpha_agi_insight_v1/insight_browser_v1/manual_build.py,202,202,python:S1192,29.0,6.0,2.0,35.0
MontrealAI/AGI-Alpha-Agent-v0,1555,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/1555,CODE_SMELL,CRITICAL,"Define a constant instead of duplicating this literal ""lib/bundle.esm.min.js"" 4 times.",PR_AGI-Alpha-Agent-v0_1555:scripts/fetch_assets.py,24,24,python:S1192,1885.0,361.0,10.0,2246.0
MontrealAI/AGI-Alpha-Agent-v0,1555,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/1555,CODE_SMELL,CRITICAL,"Define a constant instead of duplicating this literal ""lib/workbox-sw.js"" 3 times.",PR_AGI-Alpha-Agent-v0_1555:scripts/fetch_assets.py,26,26,python:S1192,1885.0,361.0,10.0,2246.0
MontrealAI/AGI-Alpha-Agent-v0,1555,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/1555,CODE_SMELL,CRITICAL,Refactor this function to reduce its Cognitive Complexity from 22 to the 15 allowed.,PR_AGI-Alpha-Agent-v0_1555:scripts/fetch_assets.py,66,66,python:S3776,1885.0,361.0,10.0,2246.0
MontrealAI/AGI-Alpha-Agent-v0,2204,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/2204,CODE_SMELL,CRITICAL,"Define a constant instead of duplicating this literal ""file.txt"" 3 times.",PR_AGI-Alpha-Agent-v0_2204:tests/test_diff_utils_apply.py,14,14,python:S1192,31.0,9.0,2.0,40.0
defog-ai/introspect,501,OpenAI_Codex,https://github.com/defog-ai/introspect/pull/501,CODE_SMELL,CRITICAL,Refactor this function to reduce its Cognitive Complexity from 25 to the 15 allowed.,PR_introspect_501:backend/tools/tool_routes.py,178,178,python:S3776,149.0,37.0,2.0,186.0
defog-ai/introspect,501,OpenAI_Codex,https://github.com/defog-ai/introspect/pull/501,CODE_SMELL,MAJOR,"Return a value of type ""bool"" instead of ""tuple"" or update function ""validate_input_model"" type hint.",PR_introspect_501:backend/tools/tool_routes.py,187,187,python:S5886,149.0,37.0,2.0,186.0
defog-ai/introspect,501,OpenAI_Codex,https://github.com/defog-ai/introspect/pull/501,CODE_SMELL,MAJOR,"Return a value of type ""bool"" instead of ""tuple"" or update function ""validate_input_model"" type hint.",PR_introspect_501:backend/tools/tool_routes.py,196,196,python:S5886,149.0,37.0,2.0,186.0
defog-ai/introspect,501,OpenAI_Codex,https://github.com/defog-ai/introspect/pull/501,CODE_SMELL,MAJOR,"Return a value of type ""bool"" instead of ""tuple"" or update function ""validate_input_model"" type hint.",PR_introspect_501:backend/tools/tool_routes.py,199,199,python:S5886,149.0,37.0,2.0,186.0
defog-ai/introspect,501,OpenAI_Codex,https://github.com/defog-ai/introspect/pull/501,CODE_SMELL,MAJOR,"Return a value of type ""bool"" instead of ""tuple"" or update function ""validate_input_model"" type hint.",PR_introspect_501:backend/tools/tool_routes.py,213,213,python:S5886,149.0,37.0,2.0,186.0
defog-ai/introspect,501,OpenAI_Codex,https://github.com/defog-ai/introspect/pull/501,CODE_SMELL,MAJOR,"Return a value of type ""bool"" instead of ""tuple"" or update function ""validate_input_model"" type hint.",PR_introspect_501:backend/tools/tool_routes.py,226,226,python:S5886,149.0,37.0,2.0,186.0
defog-ai/introspect,501,OpenAI_Codex,https://github.com/defog-ai/introspect/pull/501,CODE_SMELL,MAJOR,"Return a value of type ""bool"" instead of ""tuple"" or update function ""validate_input_model"" type hint.",PR_introspect_501:backend/tools/tool_routes.py,228,228,python:S5886,149.0,37.0,2.0,186.0
defog-ai/introspect,501,OpenAI_Codex,https://github.com/defog-ai/introspect/pull/501,CODE_SMELL,MAJOR,"Replace this expression; Previous type checks suggest that it has type ""bool"" and isn't iterable.",PR_introspect_501:backend/tools/tool_routes.py,245,245,python:S5864,149.0,37.0,2.0,186.0
defog-ai/introspect,501,OpenAI_Codex,https://github.com/defog-ai/introspect/pull/501,CODE_SMELL,MAJOR,"Replace this expression; Previous type checks suggest that it has type ""bool"" and isn't iterable.",PR_introspect_501:backend/tools/tool_routes.py,299,299,python:S5864,149.0,37.0,2.0,186.0
defog-ai/introspect,501,OpenAI_Codex,https://github.com/defog-ai/introspect/pull/501,CODE_SMELL,MAJOR,"Replace this expression; Previous type checks suggest that it has type ""bool"" and isn't iterable.",PR_introspect_501:backend/tools/tool_routes.py,495,495,python:S5864,149.0,37.0,2.0,186.0
